Hour,Technology,Fuel,Value
1,SolarPV,Power,0.0
1,SolarPV,Heat,0.0
1,SolarPV,Diesel,0.0
1,WindOnshore,Power,0.258836430776963
1,WindOnshore,Heat,0.0
1,WindOnshore,Diesel,0.0
1,ElectricHeater,Power,0.0
1,ElectricHeater,Heat,0.0603
1,ElectricHeater,Diesel,0.0
1,HydroPower,Power,0.174540154101765
1,HydroPower,Heat,0.0
1,HydroPower,Diesel,0.0
1,DieselGenerator,Power,0.0
1,DieselGenerator,Heat,0.0
1,DieselGenerator,Diesel,0.0
2,SolarPV,Power,0.0
2,SolarPV,Heat,0.0
2,SolarPV,Diesel,0.0
2,WindOnshore,Power,0.196528824232372
2,WindOnshore,Heat,0.0
2,WindOnshore,Diesel,0.0
2,ElectricHeater,Power,0.0
2,ElectricHeater,Heat,0.0694
2,ElectricHeater,Diesel,0.0
2,HydroPower,Power,0.147431885453065
2,HydroPower,Heat,0.0
2,HydroPower,Diesel,0.0
2,DieselGenerator,Power,0.0
2,DieselGenerator,Heat,0.0
2,DieselGenerator,Diesel,0.0
3,SolarPV,Power,0.0
3,SolarPV,Heat,0.0
3,SolarPV,Diesel,0.0
3,WindOnshore,Power,0.0777745097220029
3,WindOnshore,Heat,0.0
3,WindOnshore,Diesel,0.0
3,ElectricHeater,Power,0.0
3,ElectricHeater,Heat,0.0756
3,ElectricHeater,Diesel,0.0
3,HydroPower,Power,0.0690271526858431
3,HydroPower,Heat,0.0
3,HydroPower,Diesel,0.0
3,DieselGenerator,Power,0.0
3,DieselGenerator,Heat,0.0
3,DieselGenerator,Diesel,0.0
4,SolarPV,Power,0.0
4,SolarPV,Heat,0.0
4,SolarPV,Diesel,0.0
4,WindOnshore,Power,0.0464172710904382
4,WindOnshore,Heat,0.0
4,WindOnshore,Diesel,0.0
4,ElectricHeater,Power,0.0
4,ElectricHeater,Heat,0.0796
4,ElectricHeater,Diesel,0.0
4,HydroPower,Power,0.297031328509861
4,HydroPower,Heat,0.0
4,HydroPower,Diesel,0.0
4,DieselGenerator,Power,0.0
4,DieselGenerator,Heat,0.0
4,DieselGenerator,Diesel,0.0
5,SolarPV,Power,0.0
5,SolarPV,Heat,0.0
5,SolarPV,Diesel,0.0
5,WindOnshore,Power,0.0845495958693713
5,WindOnshore,Heat,0.0
5,WindOnshore,Diesel,0.0
5,ElectricHeater,Power,0.0
5,ElectricHeater,Heat,0.07455
5,ElectricHeater,Diesel,0.0
5,HydroPower,Power,0.2614185327046
5,HydroPower,Heat,0.0
5,HydroPower,Diesel,0.0
5,DieselGenerator,Power,0.0
5,DieselGenerator,Heat,0.0
5,DieselGenerator,Diesel,0.0
6,SolarPV,Power,0.0
6,SolarPV,Heat,0.0
6,SolarPV,Diesel,0.0
6,WindOnshore,Power,0.105793911240385
6,WindOnshore,Heat,0.0
6,WindOnshore,Diesel,0.0
6,ElectricHeater,Power,0.0
6,ElectricHeater,Heat,0.0792
6,ElectricHeater,Diesel,0.0
6,HydroPower,Power,0.236571631447932
6,HydroPower,Heat,0.0
6,HydroPower,Diesel,0.0
6,DieselGenerator,Power,0.0
6,DieselGenerator,Heat,0.0
6,DieselGenerator,Diesel,0.0
7,SolarPV,Power,0.0
7,SolarPV,Heat,0.0
7,SolarPV,Diesel,0.0
7,WindOnshore,Power,0.100237875431878
7,WindOnshore,Heat,0.0
7,WindOnshore,Diesel,0.0
7,ElectricHeater,Power,0.0
7,ElectricHeater,Heat,0.08055
7,ElectricHeater,Diesel,0.0
7,HydroPower,Power,0.140358941242714
7,HydroPower,Heat,0.0
7,HydroPower,Diesel,0.0
7,DieselGenerator,Power,0.0
7,DieselGenerator,Heat,0.0
7,DieselGenerator,Diesel,0.0
8,SolarPV,Power,0.0
8,SolarPV,Heat,0.0
8,SolarPV,Diesel,0.0
8,WindOnshore,Power,0.0464043721244926
8,WindOnshore,Heat,0.0
8,WindOnshore,Diesel,0.0
8,ElectricHeater,Power,0.0
8,ElectricHeater,Heat,0.07645
8,ElectricHeater,Diesel,0.0
8,HydroPower,Power,0.119584039941239
8,HydroPower,Heat,0.0
8,HydroPower,Diesel,0.0
8,DieselGenerator,Power,0.0
8,DieselGenerator,Heat,0.0
8,DieselGenerator,Diesel,0.0
9,SolarPV,Power,0.0
9,SolarPV,Heat,0.0
9,SolarPV,Diesel,0.0
9,WindOnshore,Power,0.105608691353026
9,WindOnshore,Heat,0.0
9,WindOnshore,Diesel,0.0
9,ElectricHeater,Power,0.0
9,ElectricHeater,Heat,0.06895
9,ElectricHeater,Diesel,0.0
9,HydroPower,Power,0.160435397863681
9,HydroPower,Heat,0.0
9,HydroPower,Diesel,0.0
9,DieselGenerator,Power,0.0
9,DieselGenerator,Heat,0.0
9,DieselGenerator,Diesel,0.0
10,SolarPV,Power,0.0
10,SolarPV,Heat,0.0
10,SolarPV,Diesel,0.0
10,WindOnshore,Power,0.17682298776362
10,WindOnshore,Heat,0.0
10,WindOnshore,Diesel,0.0
10,ElectricHeater,Power,0.0
10,ElectricHeater,Heat,0.0626
10,ElectricHeater,Diesel,0.0
10,HydroPower,Power,0.213737931004159
10,HydroPower,Heat,0.0
10,HydroPower,Diesel,0.0
10,DieselGenerator,Power,0.0
10,DieselGenerator,Heat,0.0
10,DieselGenerator,Diesel,0.0
11,SolarPV,Power,0.0
11,SolarPV,Heat,0.0
11,SolarPV,Diesel,0.0
11,WindOnshore,Power,0.157080019903339
11,WindOnshore,Heat,0.0
