Year,Technology,Value
2030,DieselGenerator,0.0
2030,HydroPower,0.0
2030,LFPBattery,62495.06093104027
2030,LeadAcidBattery,-3.925767405524051e-08
2030,SolarPV,0.0
2030,Tidal,0.0
2030,WindOnshore,0.0
2035,DieselGenerator,0.0
2035,HydroPower,0.0
2035,LFPBattery,3664.3633482796417
2035,LeadAcidBattery,0.0
2035,SolarPV,11987.95034696742
2035,Tidal,0.0
2035,WindOnshore,0.0
2040,DieselGenerator,0.0
2040,HydroPower,0.0
2040,LFPBattery,39366.845624895264
2040,LeadAcidBattery,2.497782533932501e-08
2040,SolarPV,56357.23667504169
2040,Tidal,221008.7712746733
2040,WindOnshore,0.0
