Year,Storage,Fuel,Type,Value
2025,LeadAcidBattery,Power,NewCapacity,0.0
2025,LeadAcidBattery,Heat,NewCapacity,0.0
2025,LeadAcidBattery,Mobility,NewCapacity,0.0
2025,LeadAcidBattery,Cooking,NewCapacity,0.0
2025,LeadAcidBattery,Diesel,NewCapacity,0.0
2025,LeadAcidBattery,FireWood,NewCapacity,0.0
2025,LiIonBattery,Power,NewCapacity,0.0
2025,LiIonBattery,Heat,NewCapacity,0.0
2025,LiIonBattery,Mobility,NewCapacity,0.0
2025,LiIonBattery,Cooking,NewCapacity,0.0
2025,LiIonBattery,Diesel,NewCapacity,0.0
2025,LiIonBattery,FireWood,NewCapacity,0.0
2025,LiFePO4Battery,Power,NewCapacity,0.0
2025,LiFePO4Battery,Heat,NewCapacity,0.0
2025,LiFePO4Battery,Mobility,NewCapacity,0.0
2025,LiFePO4Battery,Cooking,NewCapacity,0.0
2025,LiFePO4Battery,Diesel,NewCapacity,0.0
2025,LiFePO4Battery,FireWood,NewCapacity,0.0
2030,LeadAcidBattery,Power,NewCapacity,0.0
2030,LeadAcidBattery,Heat,NewCapacity,0.0
2030,LeadAcidBattery,Mobility,NewCapacity,0.0
2030,LeadAcidBattery,Cooking,NewCapacity,0.0
2030,LeadAcidBattery,Diesel,NewCapacity,0.0
2030,LeadAcidBattery,FireWood,NewCapacity,0.0
2030,LiIonBattery,Power,NewCapacity,73.34304538072
2030,LiIonBattery,Heat,NewCapacity,0.0
2030,LiIonBattery,Mobility,NewCapacity,0.0
2030,LiIonBattery,Cooking,NewCapacity,0.0
2030,LiIonBattery,Diesel,NewCapacity,0.0
2030,LiIonBattery,FireWood,NewCapacity,0.0
2030,LiFePO4Battery,Power,NewCapacity,0.0
2030,LiFePO4Battery,Heat,NewCapacity,0.0
2030,LiFePO4Battery,Mobility,NewCapacity,0.0
2030,LiFePO4Battery,Cooking,NewCapacity,0.0
2030,LiFePO4Battery,Diesel,NewCapacity,0.0
2030,LiFePO4Battery,FireWood,NewCapacity,0.0
2035,LeadAcidBattery,Power,NewCapacity,0.0
2035,LeadAcidBattery,Heat,NewCapacity,3295.2048020985594
2035,LeadAcidBattery,Mobility,NewCapacity,496.5024968267519
2035,LeadAcidBattery,Cooking,NewCapacity,430.00551870066
2035,LeadAcidBattery,Diesel,NewCapacity,0.0
2035,LeadAcidBattery,FireWood,NewCapacity,0.0
2035,LiIonBattery,Power,NewCapacity,0.0
2035,LiIonBattery,Heat,NewCapacity,0.0
2035,LiIonBattery,Mobility,NewCapacity,0.0
2035,LiIonBattery,Cooking,NewCapacity,0.0
2035,LiIonBattery,Diesel,NewCapacity,0.0
2035,LiIonBattery,FireWood,NewCapacity,0.0
2035,LiFePO4Battery,Power,NewCapacity,0.0
2035,LiFePO4Battery,Heat,NewCapacity,0.0
2035,LiFePO4Battery,Mobility,NewCapacity,0.0
2035,LiFePO4Battery,Cooking,NewCapacity,0.0
2035,LiFePO4Battery,Diesel,NewCapacity,0.0
2035,LiFePO4Battery,FireWood,NewCapacity,0.0
2040,LeadAcidBattery,Power,NewCapacity,0.0
2040,LeadAcidBattery,Heat,NewCapacity,36401.61324010158
2040,LeadAcidBattery,Mobility,NewCapacity,1312.170854949528
2040,LeadAcidBattery,Cooking,NewCapacity,514.1733840109287
2040,LeadAcidBattery,Diesel,NewCapacity,0.0
2040,LeadAcidBattery,FireWood,NewCapacity,0.0
2040,LiIonBattery,Power,NewCapacity,0.0
2040,LiIonBattery,Heat,NewCapacity,0.0
2040,LiIonBattery,Mobility,NewCapacity,0.0
2040,LiIonBattery,Cooking,NewCapacity,0.0
2040,LiIonBattery,Diesel,NewCapacity,0.0
2040,LiIonBattery,FireWood,NewCapacity,0.0
2040,LiFePO4Battery,Power,NewCapacity,0.0
2040,LiFePO4Battery,Heat,NewCapacity,0.0
2040,LiFePO4Battery,Mobility,NewCapacity,0.0
2040,LiFePO4Battery,Cooking,NewCapacity,0.0
2040,LiFePO4Battery,Diesel,NewCapacity,0.0
2040,LiFePO4Battery,FireWood,NewCapacity,0.0
2025,LeadAcidBattery,Power,TotalCapacity,1076.0
2025,LeadAcidBattery,Heat,TotalCapacity,0.0
2025,LeadAcidBattery,Mobility,TotalCapacity,0.0
2025,LeadAcidBattery,Cooking,TotalCapacity,0.0
2025,LeadAcidBattery,Diesel,TotalCapacity,0.0
2025,LeadAcidBattery,FireWood,TotalCapacity,0.0
2025,LiIonBattery,Power,TotalCapacity,0.0
2025,LiIonBattery,Heat,TotalCapacity,0.0
2025,LiIonBattery,Mobility,TotalCapacity,0.0
2025,LiIonBattery,Cooking,TotalCapacity,0.0
2025,LiIonBattery,Diesel,TotalCapacity,0.0
2025,LiIonBattery,FireWood,TotalCapacity,0.0
2025,LiFePO4Battery,Power,TotalCapacity,0.0
2025,LiFePO4Battery,Heat,TotalCapacity,0.0
2025,LiFePO4Battery,Mobility,TotalCapacity,0.0
2025,LiFePO4Battery,Cooking,TotalCapacity,0.0
2025,LiFePO4Battery,Diesel,TotalCapacity,0.0
2025,LiFePO4Battery,FireWood,TotalCapacity,0.0
2030,LeadAcidBattery,Power,TotalCapacity,0.0
2030,LeadAcidBattery,Heat,TotalCapacity,0.0
2030,LeadAcidBattery,Mobility,TotalCapacity,0.0
2030,LeadAcidBattery,Cooking,TotalCapacity,0.0
2030,LeadAcidBattery,Diesel,TotalCapacity,0.0
2030,LeadAcidBattery,FireWood,TotalCapacity,0.0
2030,LiIonBattery,Power,TotalCapacity,73.34304538072
2030,LiIonBattery,Heat,TotalCapacity,0.0
2030,LiIonBattery,Mobility,TotalCapacity,0.0
2030,LiIonBattery,Cooking,TotalCapacity,0.0
2030,LiIonBattery,Diesel,TotalCapacity,0.0
2030,LiIonBattery,FireWood,TotalCapacity,0.0
2030,LiFePO4Battery,Power,TotalCapacity,0.0
2030,LiFePO4Battery,Heat,TotalCapacity,0.0
2030,LiFePO4Battery,Mobility,TotalCapacity,0.0
2030,LiFePO4Battery,Cooking,TotalCapacity,0.0
2030,LiFePO4Battery,Diesel,TotalCapacity,0.0
2030,LiFePO4Battery,FireWood,TotalCapacity,0.0
2035,LeadAcidBattery,Power,TotalCapacity,0.0
2035,LeadAcidBattery,Heat,TotalCapacity,3295.2048020985594
2035,LeadAcidBattery,Mobility,TotalCapacity,496.5024968267519
2035,LeadAcidBattery,Cooking,TotalCapacity,430.00551870066
2035,LeadAcidBattery,Diesel,TotalCapacity,0.0
2035,LeadAcidBattery,FireWood,TotalCapacity,0.0
2035,LiIonBattery,Power,TotalCapacity,73.34304538072
2035,LiIonBattery,Heat,TotalCapacity,0.0
2035,LiIonBattery,Mobility,TotalCapacity,0.0
2035,LiIonBattery,Cooking,TotalCapacity,0.0
2035,LiIonBattery,Diesel,TotalCapacity,0.0
2035,LiIonBattery,FireWood,TotalCapacity,0.0
2035,LiFePO4Battery,Power,TotalCapacity,0.0
2035,LiFePO4Battery,Heat,TotalCapacity,0.0
2035,LiFePO4Battery,Mobility,TotalCapacity,0.0
2035,LiFePO4Battery,Cooking,TotalCapacity,0.0
2035,LiFePO4Battery,Diesel,TotalCapacity,0.0
2035,LiFePO4Battery,FireWood,TotalCapacity,0.0
2040,LeadAcidBattery,Power,TotalCapacity,0.0
2040,LeadAcidBattery,Heat,TotalCapacity,39696.81804220014
2040,LeadAcidBattery,Mobility,TotalCapacity,1808.6733517762798
2040,LeadAcidBattery,Cooking,TotalCapacity,944.1789027115886
2040,LeadAcidBattery,Diesel,TotalCapacity,0.0
2040,LeadAcidBattery,FireWood,TotalCapacity,0.0
2040,LiIonBattery,Power,TotalCapacity,73.34304538072
2040,LiIonBattery,Heat,TotalCapacity,0.0
2040,LiIonBattery,Mobility,TotalCapacity,0.0
2040,LiIonBattery,Cooking,TotalCapacity,0.0
2040,LiIonBattery,Diesel,TotalCapacity,0.0
2040,LiIonBattery,FireWood,TotalCapacity,0.0
2040,LiFePO4Battery,Power,TotalCapacity,0.0
2040,LiFePO4Battery,Heat,TotalCapacity,0.0
2040,LiFePO4Battery,Mobility,TotalCapacity,0.0
2040,LiFePO4Battery,Cooking,TotalCapacity,0.0
2040,LiFePO4Battery,Diesel,TotalCapacity,0.0
2040,LiFePO4Battery,FireWood,TotalCapacity,0.0
